Comments,Cleaned_Comments,Translated_Comments
கலக்குமா கலக்கு மாப்ளே,கலககம கலகக மபள,Riot riot
OMG I forgot to see your review and went watch PUSHPA 2 finally first time slept at theatre 😢.,omg i forgot to see your review and went watch pushpa finally first time slept at theatre,omg i forgot to see your review and went watch pushpa finally first time slept at theatre
They going to ban u,they going to ban u,they going to ban u
First 15 mins scene related will come in pushpa 3,first mins scene related will come in pushpa,first mins scene related will come in pushpa
Iyooo padam semma kevalam da 🤢 nan pushpa fan da part 1 20 vatti pathuruppen intha movie ya pakka mudiyala 😖,iyooo padam semma kevalam da nan pushpa fan da part vatti pathuruppen intha movie ya pakka mudiyala,Iyooo goes out of semma da nan pushpa fan da parts vatti pathuruppen intha movie yes pakka mudiyala
😂😂😅,,
Work from home குஜய் அண்ணா 😄😄,work from home கஜய அணண,work from home கஜய அணண
Review❌ Roast✅ 😂😂🤣,review roast,review roast
1000 CROES THEVIDYA PAIYA BLUE SATTA UMPU POITU BADU 😂😂😂,croes thevidya paiya blue satta umpu poitu badu,Croes Thevidya Paiya Blue Satta Umpu Poitu Badu
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=405"">6:45</a>😂😂",a href,and href
"Japan to Tamil,  Tamil to Japan 😂",japan to tamil tamil to japan,Japan To Tamil Tamil to Japan
உங்க லெவலே வேற தல,உஙக லவல வற தல,Yours
"For your information Mr. maran, the starting japan harbor scenes were his dream, dont you understand that. dont expose your foolishness.",for your information mr maran the starting japan harbor scenes were his dream dont you understand that dont expose your foolishness,for your information mr maran the starting japan harbor scenes were his dream dont you understand that dont expose your foolishness
"Mr. Maran, why this kole veri. The movie is amazing in many ways. You are wrong in many ways by criticizing it. Pushpa 2 collection will prove you wrong for sure, just wait and watch then you wear a pushpa brand (the hand print) shirt itstead of blue shirt😆😀🤣",mr maran why this kole veri the movie is amazing in many ways you are wrong in many ways by criticizing it pushpa collection will prove you wrong for sure just wait and watch then you wear a pushpa brand the hand print shirt itstead of blue shirt,mr maran why this kole veri the movie is amazing in many ways you are wrong in many ways by criticizing it pushpa collection will prove you wrong for sure just wait and watch then you wear a pushpa brand the hand print shirt itstead of blue shirt
❤😂,,
புஷ்பா புருஷன் 😅,பஷப பரஷன,Pashabha Parashana
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=321"">5:21</a> 😂😂😂",a href,and href
pundemavane tamilan and tamilichi thevedia,pundemavane tamilan and tamilichi thevedia,pundemavane tamilan and tamilichi thevedia
Dai yaapaa shirt change panudaa 😅,dai yaapaa shirt change panudaa,"Dai, what's the Panudaa Change Shirt"
🕊 pura vu ku oru porr Ada 😂,pura vu ku oru porr ada,Pura vu ku oru porr ada
😡😡😡,,
Tamila pesitu irukan😂,tamila pesitu irukan,Tamila Pesitu is blamed
Indian record da loosu,indian record da loosu,Indian Record from Loosu
Padam Nalla irruku,padam nalla irruku,extinguished nalla irruku
Dei original version telugu la japan kaaran japanese laa daan da pesuvaanga.,dei original version telugu la japan kaaran japanese laa daan da pesuvaanga,Dei Original Version Telugu La Japan Kaaran Japanese Laana Daan Daan Da Daan
Maari is far far better than Pushpa 1 &amp; 2,maari is far far better than pushpa amp,Maari is Father Better than Pushpa amp
"Unfair Review🥹😏.. and I expected more worst review and roast for this movie...<br>I think, I&#39;m not seeing the Real Blue Sattai in this Review 😖🤐",unfair review and i expected more worst review and roast for this moviebri think im not seeing the real blue sattai in this review,unfair review and i expected more worst review and roast for this moviebri think im not seeing the real blue sattai in this review
யோ உன்ன எனக்கு புடிக்கவே புடிக்காது <br>ஆனா உன் slang இருக்கே ரசிகனா மாறிவிடுவேன் போல் இருக்கு,ய உனன எனகக படககவ படககத brஆன உன slang இரகக ரசகன மறவடவன பல இரகக,Slang Slang Rashakana Forgotten
புஸ்பா புருஷன்😅😅😅புஸ்பா புருஷன்,பஸப பரஷனபஸப பரஷன,Basabha Parashanabasabha Parashana
Pudusa irukku😂,pudusa irukku,Pudusa Irukku
அய்யாபடமுடியலபார்ட்டு3லாதாமுடியுதாம்,அயயபடமடயலபரடடலதமடயதம,Acre buttermilk
Watch sattai duraimurugan review 😂,watch sattai duraimurugan review,Watch Sattai Duraimurugan Review
உன்னுடைய  விமர்சனத்திற்கு  அப்புறமா  அந்தப்படம்  தோல்வியா  வெற்றியா  என்பதில்லை உன்பேச்சைக்கேட்டபின்புதான்  படத்திற்கே  போகவேண்டும் போல  தெரிகிறது  ஆகமொத்தத்தில்  நீயொரு  ஸ்பை,உனனடய வமரசனததறக அபபறம அநதபபடம தலவய வறறய எனபதலல உனபசசககடடபனபதன படததறக பகவணடம பல தரகறத ஆகமததததல நயர ஸப,There is a number of quality of life that is not available in the world.
😂😂😂😂😂😂😂😂😂😂,,
கடத்தல் காரன் ஹீரோ கடத்தலை தடுப்பவன் வில்லன் பலே பலே,கடததல கரன ஹர கடததல தடபபவன வலலன பல பல,Kathala Karana Hara Kadatalai Valalana Valalana
Poraaa puvvàa 🌸,poraaa puvvàa,drills the puvvà
1000 cr already collected,cr already collected,cr already collected
Bro Ivan enna sonnalum movie 922 +cr cross haiduchu bro...... Ithemari suthu irrukavanka enna sonalum nambha nama velaya pathutu poitea irrukanum bro .....,bro ivan enna sonnalum movie cr cross haiduchu bro ithemari suthu irrukavanka enna sonalum nambha nama velaya pathutu poitea irrukanum bro,Blo Ivan Enna Sonnalum Movie Crss Haiduchu B
"6வாது நாள் வசூல் 1000 கோடியை தாண்டியது<br>எப்படியும் 1500 கோடி உறுதி<br>தமிழ்நாட்டில் 40 கோடியை தாண்டியது<br>இங்கே எப்படியும் 20 தேதி  விடுதலை 2வரும் வரை ஓடும்<br>தமிழ்நாட்டில் புஷ்பா 2, 75 கோடியை தொடும்",வத நள வசல கடய தணடயதbrஎபபடயம கட உறதbrதமழநடடல கடய தணடயதbrஇஙக எபபடயம தத வடதல வரம வர ஓடமbrதமழநடடல பஷப கடய தடம,BROOD CORPORATE CORPORATE CORPORATE CORPORATE CORPORATE CORPORATION
Ne oru padam edu..,ne oru padam edu,I don't get to Edu
"Blue, Thalaivan Thinariyae Tharunamm😂 pushpa 🔥",blue thalaivan thinariyae tharunamm pushpa,blue thalaivan thinariyae tharunamm pushpa
Cheat,cheat,cheat
marana mokka padam da ithu..,marana mokka padam da ithu,Marana Mokka extinguished da Ithu
Nice review 👌,nice review,nice review
😄😄😄😄,,
Waste movie .. Edho eduthae aganum nu compulsion la edutha movie idhu,waste movie edho eduthae aganum nu compulsion la edutha movie idhu,waste movie edho eduthae aganum nu compulsion la edutha movie idhu
Lawde you don&#39;t have mind see once again so that you can review better,lawde you dont have mind see once again so that you can review better,lawde you dont have mind see once again so that you can review better
இப்போ படம் நல்ல இருக்கா இல்லையா,இபப படம நலல இரகக இலலய,This is the most important way
True 🙌🏼 Puspa one was okay and nothing great! Yet people are going crazy 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️,true puspa one was okay and nothing great yet people are going crazy,true puspa one was okay and nothing great yet people are going crazy
Da sunni,da sunni,Da Sunni
ஏண்டா  மூவி நல்லா இல்லை நீ நல்லா இருக்குது சொல்லற 👎👎,ஏணட மவ நலல இலல ந நலல இரககத சலலற,Welfare
என்ன சார் கட்டிங் வரலையா...😊,எனன சர கடடங வரலய,My Sarabha
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=217"">3:37</a>  time la payment recevid maraan 🤣🤣🤣🤣😂😂😂😂😂",a href time la payment recevid maraan,a href time la payment recevid maraan
Movies is too good entertaining… review person very worst no knowledge,movies is too good entertaining review person very worst no knowledge,movies is too good entertaining review person very worst no knowledge
Super Review 🎉,super review,super review
Padatha ozhunga paakka theriyathavan review panna vanduttan pannada,padatha ozhunga paakka theriyathavan review panna vanduttan pannada,Solidha Ozhunga Paakka Theriyathavan Review of Panna Vanduttan Pannada
Paithiyame first fight kanavuda  venna,paithiyame first fight kanavuda venna,Paithiyame First Fight Kanavuda's brother
"அண்ணா,நான் என் தோழியின் பின் துவாரத்தில் தொடர்ந்து செய்து வருகிறேன் அவளும் அதையே விரும்புகிறாள். அப்படி செய்யும் போது நானும் எனது தோழியும் அதிக உச்சக்கட்டம் அடைகின்றோம் .என் தோழிக்கு உச்சக்கட்டம் அடையும் போது அவளுக்கு ஆய் கசிந்து விடுகிறது இதனால் ஏதும் பாதிப்பு உண்டா? Also எனக்கு வெளியாகும் போது நான் உள்ளேயே விடுகிறேன் அது நல்லதா?",அணணநன என தழயன பன தவரததல தடரநத சயத வரகறன அவளம அதய வரமபகறள அபபட சயயம பத நனம எனத தழயம அதக உசசககடடம அடகனறம என தழகக உசசககடடம அடயம பத அவளகக ஆய கசநத வடகறத இதனல ஏதம பதபப உணட also எனகக வளயகம பத நன உளளய வடகறன அத நலலத,"As a result of the fact that she is a good idea, she is not the only one who can do it. Welfare"
