Comments,Cleaned_Comments,Translated_Comments,Fully_Cleaned_Comments,Sentiment
"GOOD CRITICS BUT PUSHPHA 2 ACTOR MR.ALLU ARJUN BORN IN TAMILNADU ANDHRA FAMILY HE IS GENTLE MAN AND MADE A GREAT NAME BETTER THAN RAJINI KANTH, KAMALA HASSAN, VIJAI, AJITH AND SARUK KHAN, AMEER KHAN, SALMAN KHAN ETC ALL WENT DOWN BOX OFFICE RECORD ONLY MR.ALLU ARJUN WIN IN NOT ONLY SUPER STAR  HE IS TODAY INDIAN MOVIES 7 SUPER SUPER STAR IS REALITY BOX OFFICE HIT WITHIN ONE WEEK MORE THAN 1000 CRORES RUPEES ! ! ! !   I SAW THIS PUSHPA 2 FILM IN PARIS, FRANCE A GIANT THEATER WITH ALL MODERN DOLBY SYSTEM 70 MM IT WAS HOUSE FULL  ! ! ! ! ! EVEN FRENCH PEOPLE APPRECIATE THIS ACTOR SIMPLE PERSON MR.ALLU ARJUN ! ! ! ! ! ALL INDIAN HEROS TO LEARN FROM MR.ALLU ARJUN HOW TO RESPECT PEOPLE AND THEIR SORROUND PEOPLE CINEMA TECHNITION WORKERS ! ! ! (ONLY LATE. GREAT FAMOUS MGR WAS THE FIRST PERSON TO HELP FIRST WORKERS &amp; TECHNICIANS IN STUDIO,  NOW MR.ALLU ARJUN).",good critics but pushpha actor mrallu arjun born in tamilnadu andhra family he is gentle man and made a great name better than rajini kanth kamala hassan vijai ajith and saruk khan ameer khan salman khan etc all went down box office record only mrallu arjun win in not only super star he is today indian movies super super star is reality box office hit within one week more than crores rupees i saw this pushpa film in paris france a giant theater with all modern dolby system mm it was house full even french people appreciate this actor simple person mrallu arjun all indian heros to learn from mrallu arjun how to respect people and their sorround people cinema technition workers only late great famous mgr was the first person to help first workers amp technicians in studio now mrallu arjun,good critics but pushpha actor mrallu arjun born in tamilnadu andhra family he is gentle man and made a great name better than rajini kanth kamala hassan vijai ajith and saruk khan ameer khan salman khan etc all went down box office record only mrallu arjun win in not only super star he is today indian movies super super star is reality box office hit within one week more than crores rupees i saw this pushpa film in paris france a giant theater with all modern dolby system mm it was house full even french people appreciate this actor simple person mrallu arjun all indian heros to learn from mrallu arjun how to respect people and their sorround people cinema technition workers only late great famous mgr was the first person to help first workers amp technicians in studio now mrallu arjun,good critics but pushpha actor mrallu arjun born in tamilnadu andhra family he is gentle man and made a great name better than rajini kanth kamala hassan vijai ajith and saruk khan ameer khan salman khan etc all went down box office record only mrallu arjun win in not only super star he is today indian movies super super star is reality box office hit within one week more than crores rupees i saw this pushpa film in paris france a giant theater with all modern dolby system mm it was house full even french people appreciate this actor simple person mrallu arjun all indian heros to learn from mrallu arjun how to respect people and their sorround people cinema technition workers only late great famous mgr was the first person to help first workers amp technicians in studio now mrallu arjun,Positive
ಟವಲ್ ಸುತ್ತಿಕೊಂಡು ಹೊಡಿಯೋದಾದ್ರೆ ಇದರೆ,ಟವಲ ಸತತಕಡ ಹಡಯದದರ ಇದರ,Its,Its,Neutral
ப்ளூ சட்டை மாறன் எதற்கு வேஸ்ட்ட படம் பாக்குறீங்க எதுக்கு வேஸ்டா கமெண்ட் போடுறீங்க புஷ்பா டு வேற லெவல் படம் உங்க கமெண்ட்ஸ் தப்ப😡😡😡😡😡😡,பள சடட மறன எதறக வஸடட படம பககறஙக எதகக வஸட கமணட படறஙக பஷப ட வற லவல படம உஙக கமணடஸ தபப,What is the purpose of the film.,What is the purpose of the film,Neutral
😂😂😂😂 honest review,honest review,honest review,honest review,Positive
முஸ்பா டு படம் பாத்தியா பக்கத்து உட்கார்ந்து இருக்கிற புஷ்பா பொண்டாட்டி பாத்தியாடா,மஸப ட படம பததய பககதத உடகரநத இரககற பஷப பணடடட பததயட,Masabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa would,Masabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa would,Neutral
Avalo dhan mudichi விட்டாங்க போங்க 😢,avalo dhan mudichi வடடஙக பஙக,Have it Dhan Muichi வடடஙக பஙக பஙக பஙக,Have it Dhan Muichi,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=351"">5:51</a> Rajini vijay thaakkapattargal😂😂😂😂",a href rajini vijay thaakkapattargal,a href Rajini vijay ThakakkaPattargal,a href Rajini vijay ThakakkaPattargal,Neutral
😂😂😂,,,,Neutral
பாம் பாலகிருஷ்ணா தற்போது அதிகம் நடிக்காத குறையை புஷ்பா பட வரிசையில் நடித்து அல்லு அர்ஜுன் தீர்த்து வைக்கிறார் இது உனக்கு பொறுக்கலை இல்ல. பீச்சினா கொடுக்கா 🤣🤣🤣 😏 🇮🇳,பம பலகரஷண தறபத அதகம நடககத கறய பஷப பட வரசயல நடதத அலல அரஜன தரதத வககறர இத உனகக பறககல இலல பசசன கடகக,Palakarasana Tarapatha Aadhakatha Narayana Karayana Pashaka Varasalai Alalala Alarata Quality Type,Palakarasana Tarapatha Aadhakatha Narayana Karayana Pashaka Varasalai Alalala Alarata Quality Type,Neutral
அந்த வாய்க்கடி சண்டைய மட்டும் மறக்க முடியாது.,அநத வயககட சணடய மடடம மறகக மடயத,Butterflies,Butterflies,Neutral
Enakum antha Japan fight thevailla than......aana athu avanoda dream da....atha kuda theriyama padam paathitka,enakum antha japan fight thevailla thanaana athu avanoda dream daatha kuda theriyama padam paathitka,Delicious Antha Japan Fight Thevillas Thanaana Athu Avanoda Dream Daatha The Horse Theriyama is extinguished Paathitka,Delicious Antha Japan Fight Thevillas Thanaana Athu Avanoda Dream Daatha The Horse Theriyama is extinguished Paathitka,Positive
மக்கா சட்டை..புஷ்பா 1 நல்லா இருக்குண்ட வெண்ணை,மகக சடடபஷப நலல இரககணட வணண,Welfare,Welfare,Neutral
"Cry cry, cry well",cry cry cry well,Cry Cry Cry better,Cry Cry Cry better,Positive
Pushpa is our Veerappan🎉🎉🎉🎉,pushpa is our veerappan,pushpa is our veerappan,pushpa is our veerappan,Neutral
Pushpa 2 semma mass 2000 crores collection sure🎉🎉🎉,pushpa semma mass crores collection sure,Pushpa Semma Mass Bores Sure Collection,Pushpa Semma Mass Bores Sure Collection,Positive
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=351"">5:51</a>🤣🤣🤣",a href,and href,and href,Neutral
நீ பாதி டயலாக் வடிவேலு டயலாக்கா சொல்லிட்டு இருக்க…,ந பத டயலக வடவல டயலகக சலலடட இரகக,Diagra Diaspora,Diagra Diaspora,Neutral
Blue always Mass,blue always mass,blue always mass,blue always mass,Neutral
हेलो,हल,Plough,Plough,Neutral
😢,,,,Neutral
இப்ப இவரு படம் நல்லா இருக்குனு சொல்றாரா. நல்லா இல்லனு சொல்றாரா🙄🙄🙄🙄,இபப இவர படம நலல இரககன சலறர நலல இலலன சலறர,This is the case with the welfare of the film.,This is the case with the welfare of the film,Neutral
Allu Arjun arrest let&#39;s news,allu arjun arrest lets news,Allu Arjun Arrest Lets News,Allu Arjun Arrest Lets News,Negative
😂,,,,Neutral
Kasu vangitaan,kasu vangitaan,benefits,benefits,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=392"">6:32</a> Yow Naanum Apdithaan Nimacheh 😂😂😂",a href yow naanum apdithaan nimacheh,and href yow naanum apdithaan nimacheh,and href yow naanum apdithaan nimacheh,Neutral
Mokka muve,mokka muve,mocha,mocha,Neutral
Padam pool maari irukku fully cringe kanguvave best,padam pool maari irukku fully cringe kanguvave best,Padam Pool Maari Irukku Fully Circinge Kanguvave Best,Padam Pool Maari Irukku Fully Circinge Kanguvave Best,Positive
கலக்குமா கலக்கு மாப்ளே,கலககம கலகக மபள,Riot riot,Riot riot,Neutral
OMG I forgot to see your review and went watch PUSHPA 2 finally first time slept at theatre 😢.,omg i forgot to see your review and went watch pushpa finally first time slept at theatre,omg i forgot to see your review and went watch pushpa finally first time slept at theatre,omg i forgot to see your review and went watch pushpa finally first time slept at theatre,Positive
They going to ban u,they going to ban u,they going to ban u,they going to ban u,Neutral
First 15 mins scene related will come in pushpa 3,first mins scene related will come in pushpa,first mins scene related will come in pushpa,first mins scene related will come in pushpa,Positive
Iyooo padam semma kevalam da 🤢 nan pushpa fan da part 1 20 vatti pathuruppen intha movie ya pakka mudiyala 😖,iyooo padam semma kevalam da nan pushpa fan da part vatti pathuruppen intha movie ya pakka mudiyala,Iyooo goes out of semma da nan pushpa fan da parts vatti pathuruppen intha movie yes pakka mudiyala,Iyooo goes out of semma da nan pushpa fan da parts vatti pathuruppen intha movie yes pakka mudiyala,Neutral
😂😂😅,,,,Neutral
Work from home குஜய் அண்ணா 😄😄,work from home கஜய அணண,work from home கஜய அணண,work from home,Neutral
